"ISO","threshold","confirmation_lens","admin_level","n_runs_targeted"
"SLE",0.001,"no-estimate","admin1",200
"SLE",0.001,"no-estimate","admin2",200
"SOM",1e-04,"district-estimate","admin1",200
"SOM",1e-04,"district-estimate","admin2",200
"SOM",2e-04,"district-estimate","admin1",200
"SOM",2e-04,"district-estimate","admin2",200
"SOM",0.001,"district-estimate","admin1",199
"SOM",0.001,"district-estimate","admin2",200
"SOM",1e-04,"global-estimate","admin1",200
"SOM",1e-04,"global-estimate","admin2",200
"SOM",2e-04,"global-estimate","admin1",200
"SOM",2e-04,"global-estimate","admin2",200
"SOM",0.001,"global-estimate","admin1",200
"SOM",0.001,"global-estimate","admin2",200
"SOM",1e-04,"no-estimate","admin1",200
"SOM",1e-04,"no-estimate","admin2",200
"SOM",2e-04,"no-estimate","admin1",200
"SOM",2e-04,"no-estimate","admin2",200
"SOM",0.001,"no-estimate","admin1",200
"SOM",0.001,"no-estimate","admin2",200
"SSD",1e-04,"district-estimate","admin1",200
"SSD",1e-04,"district-estimate","admin2",200
"SSD",2e-04,"district-estimate","admin1",200
"SSD",2e-04,"district-estimate","admin2",200
"SSD",0.001,"district-estimate","admin1",114
"SSD",0.001,"district-estimate","admin2",199
"SSD",1e-04,"global-estimate","admin1",200
"SSD",1e-04,"global-estimate","admin2",200
"SSD",2e-04,"global-estimate","admin1",200
"SSD",2e-04,"global-estimate","admin2",200
"SSD",0.001,"global-estimate","admin1",83
"SSD",0.001,"global-estimate","admin2",196
"SSD",1e-04,"no-estimate","admin1",200
"SSD",1e-04,"no-estimate","admin2",200
"SSD",2e-04,"no-estimate","admin1",200
"SSD",2e-04,"no-estimate","admin2",200
"SSD",0.001,"no-estimate","admin1",200
"SSD",0.001,"no-estimate","admin2",200
"TCD",1e-04,"district-estimate","admin1",200
"TCD",1e-04,"district-estimate","admin2",200
"TCD",2e-04,"district-estimate","admin1",200
"TCD",2e-04,"district-estimate","admin2",200
"TCD",0.001,"district-estimate","admin1",200
"TCD",0.001,"district-estimate","admin2",200
"TCD",1e-04,"global-estimate","admin1",200
"TCD",1e-04,"global-estimate","admin2",200
"TCD",2e-04,"global-estimate","admin1",200
"TCD",2e-04,"global-estimate","admin2",200
"TCD",0.001,"global-estimate","admin1",200
"TCD",0.001,"global-estimate","admin2",200
"TCD",1e-04,"no-estimate","admin1",200
"TCD",1e-04,"no-estimate","admin2",200
"TCD",2e-04,"no-estimate","admin1",200
"TCD",2e-04,"no-estimate","admin2",200
"TCD",0.001,"no-estimate","admin1",200
