"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"KEN","district-estimate","admin2",2e-04,42,55,64,18,23,27
"KEN","district-estimate","admin2",0.001,5,11,17,2,5,8
"KEN","global-estimate","admin1",1e-04,15,22,27,7,9,11
"KEN","global-estimate","admin1",2e-04,6,10,15,3,5,7
"KEN","global-estimate","admin1",0.001,1,1,2,1,1,1
"KEN","global-estimate","admin2",1e-04,62,76,91,25,31,36
"KEN","global-estimate","admin2",2e-04,28,42,55,12,18,24
"KEN","global-estimate","admin2",0.001,2,10,14,2,5,6
"KEN","no-estimate","admin1",1e-04,35,39,42,14,16,18
"KEN","no-estimate","admin1",2e-04,19,26,29,8,11,12
"KEN","no-estimate","admin1",0.001,2,4,5,1,2,3
"KEN","no-estimate","admin2",1e-04,138,150,162,56,62,68
"KEN","no-estimate","admin2",2e-04,76,88,96,31,36,40
"KEN","no-estimate","admin2",0.001,17,25,29,7,11,13
"LBR","district-estimate","admin1",1e-04,3,4,8,1,2,3
"LBR","district-estimate","admin1",2e-04,2,3,6,1,1,3
"LBR","district-estimate","admin1",0.001,1,1,2,1,1,1
"LBR","district-estimate","admin2",1e-04,5,10,17,2,4,7
"LBR","district-estimate","admin2",2e-04,3,6,13,1,3,5
"LBR","district-estimate","admin2",0.001,1,3,4,1,1,2
"LBR","global-estimate","admin1",1e-04,3,3,8,1,1,3
"LBR","global-estimate","admin1",2e-04,2,3,5,1,1,2
"LBR","global-estimate","admin1",0.001,1,2,2,1,1,1
"LBR","global-estimate","admin2",1e-04,4,9,17,2,4,7
"LBR","global-estimate","admin2",2e-04,3,6,12,1,2,5
"LBR","global-estimate","admin2",0.001,1,3,4,1,1,2
"LBR","no-estimate","admin1",1e-04,3,6,11,1,2,5
"LBR","no-estimate","admin1",2e-04,3,4,8,1,2,3
"LBR","no-estimate","admin1",0.001,1,2,3,1,1,2
"LBR","no-estimate","admin2",1e-04,6,13,26,2,5,10
"LBR","no-estimate","admin2",2e-04,6,10,17,2,4,7
"LBR","no-estimate","admin2",0.001,2,5,7,1,2,3
"MDG","district-estimate","admin2",1e-04,2,2,2,1,1,1
"MDG","no-estimate","admin2",1e-04,1,2,2,1,1,1
"MLI","district-estimate","admin1",1e-04,1,2,4,1,1,2
"MLI","district-estimate","admin2",1e-04,6,11,16,3,6,8
"MLI","district-estimate","admin2",2e-04,1,2,5,1,1,3
"MLI","global-estimate","admin1",1e-04,1,1,2,1,1,1
"MLI","global-estimate","admin1",2e-04,1,2,2,1,1,1
"MLI","global-estimate","admin2",1e-04,3,7,12,2,4,6
"MLI","global-estimate","admin2",2e-04,1,2,4,1,1,2
"MLI","no-estimate","admin1",1e-04,4,4,6,2,2,3
"MLI","no-estimate","admin1",2e-04,1,2,4,1,1,2
"MLI","no-estimate","admin2",1e-04,22,24,27,9,10,11
"MLI","no-estimate","admin2",2e-04,8,11,14,4,6,7
"MOZ","district-estimate","admin1",1e-04,2,4,9,1,2,4
"MOZ","district-estimate","admin1",2e-04,1,2,4,1,1,2
"MOZ","district-estimate","admin2",1e-04,15,23,32,5,9,12
"MOZ","district-estimate","admin2",2e-04,11,17,26,4,7,9
"MOZ","district-estimate","admin2",0.001,1,5,10,1,2,4
"MOZ","global-estimate","admin1",1e-04,1,3,7,1,2,4
"MOZ","global-estimate","admin1",2e-04,1,2,3,1,1,2
"MOZ","global-estimate","admin2",1e-04,13,21,29,5,8,11
"MOZ","global-estimate","admin2",2e-04,7,12,23,3,5,9
"MOZ","global-estimate","admin2",0.001,1,5,9,1,2,4
"MOZ","no-estimate","admin1",1e-04,7,10,13,3,5,5
"MOZ","no-estimate","admin1",2e-04,3,4,8,2,2,4
"MOZ","no-estimate","admin2",1e-04,22,32,40,9,12,16
"MOZ","no-estimate","admin2",2e-04,15,22,30,5,9,12
"MOZ","no-estimate","admin2",0.001,6,9,17,3,4,7
"MRT","district-estimate","admin1",1e-04,1,1,1,1,1,1
"MRT","district-estimate","admin2",1e-04,2,3,4,1,1,2
"MRT","district-estimate","admin2",2e-04,1,2,2,1,1,1
"MRT","global-estimate","admin2",1e-04,2,2,3,1,1,2
"MRT","global-estimate","admin2",2e-04,1,2,2,1,1,1
"MRT","no-estimate","admin1",1e-04,1,2,2,1,1,1
"MRT","no-estimate","admin1",2e-04,1,1,1,1,1,1
"MRT","no-estimate","admin2",1e-04,3,3,6,1,1,2
"MRT","no-estimate","admin2",2e-04,2,3,4,1,1,2
"MWI","district-estimate","admin1",1e-04,1,3,6,1,2,3
"MWI","district-estimate","admin1",2e-04,1,2,3,1,1,1
"MWI","district-estimate","admin2",1e-04,21,32,49,9,14,21
"MWI","district-estimate","admin2",2e-04,8,16,25,3,7,12
"MWI","district-estimate","admin2",0.001,1,2,3,1,1,2
"MWI","global-estimate","admin1",1e-04,1,2,4,1,1,2
"MWI","global-estimate","admin1",2e-04,2,2,2,1,1,1
"MWI","global-estimate","admin2",1e-04,16,26,40,7,11,17
"MWI","global-estimate","admin2",2e-04,4,11,20,2,5,9
"MWI","no-estimate","admin1",1e-04,7,10,13,4,5,6
"MWI","no-estimate","admin1",2e-04,2,4,7,1,2,3
"MWI","no-estimate","admin2",1e-04,41,57,83,16,23,33
"MWI","no-estimate","admin2",2e-04,21,31,47,9,13,20
"MWI","no-estimate","admin2",0.001,1,4,7,1,2,5
"NAM","district-estimate","admin1",1e-04,2,5,6,1,2,2
"NAM","district-estimate","admin1",2e-04,1,3,5,1,1,2
"NAM","district-estimate","admin1",0.001,1,3,3,1,1,1
"NAM","district-estimate","admin2",1e-04,14,23,29,5,9,12
"NAM","district-estimate","admin2",2e-04,5,14,20,3,8,10
"NAM","district-estimate","admin2",0.001,2,3,4,1,1,2
"NAM","global-estimate","admin1",1e-04,1,5,6,1,2,2
"NAM","global-estimate","admin1",2e-04,2,3,6,1,1,2
"NAM","global-estimate","admin1",0.001,2,3,3,1,1,1
"NAM","global-estimate","admin2",1e-04,11,19,28,5,9,12
"NAM","global-estimate","admin2",2e-04,3,11,20,1,5,9
"NAM","global-estimate","admin2",0.001,2,3,3,1,1,1
"NAM","no-estimate","admin1",1e-04,3,6,7,1,2,3
"NAM","no-estimate","admin1",2e-04,2,5,6,1,2,2
"NAM","no-estimate","admin1",0.001,2,2,3,1,1,1
"NAM","no-estimate","admin2",1e-04,17,27,35,6,10,12
"NAM","no-estimate","admin2",2e-04,14,23,29,5,9,12
"NAM","no-estimate","admin2",0.001,2,4,9,1,2,4
"NER","district-estimate","admin1",1e-04,1,2,4,1,1,2
"NER","district-estimate","admin1",2e-04,1,1,2,1,1,1
"NER","district-estimate","admin2",1e-04,6,8,12,2,4,5
"NER","district-estimate","admin2",2e-04,2,4,7,1,2,3
"NER","district-estimate","admin2",0.001,1,1,2,1,1,1
"NER","global-estimate","admin1",1e-04,1,2,3,1,1,2
"NER","global-estimate","admin1",2e-04,1,1,1,1,1,1
"NER","global-estimate","admin2",1e-04,5,7,11,2,3,5
"NER","global-estimate","admin2",2e-04,1,3,6,1,1,3
"NER","no-estimate","admin1",1e-04,3,5,7,1,2,3
"NER","no-estimate","admin1",2e-04,1,2,3,1,1,2
"NER","no-estimate","admin2",1e-04,12,14,17,5,6,7
"NER","no-estimate","admin2",2e-04,6,8,12,3,4,5
"NER","no-estimate","admin2",0.001,2,2,2,1,1,1
"NGA","district-estimate","admin1",1e-04,7,10,14,3,5,8
"NGA","district-estimate","admin1",2e-04,2,3,6,1,1,3
"NGA","district-estimate","admin2",1e-04,106,136,162,44,56,68
"NGA","district-estimate","admin2",2e-04,64,80,99,28,34,43
"NGA","district-estimate","admin2",0.001,3,14,22,1,6,11
"NGA","global-estimate","admin1",1e-04,4,6,10,2,3,5
"NGA","global-estimate","admin1",2e-04,2,2,4,1,1,2
"NGA","global-estimate","admin2",1e-04,90,119,146,37,50,62
"NGA","global-estimate","admin2",2e-04,35,58,76,16,26,34
"NGA","global-estimate","admin2",0.001,3,10,15,1,4,7
"NGA","no-estimate","admin1",1e-04,23,27,31,11,12,14
"NGA","no-estimate","admin1",2e-04,6,9,13,3,5,7
"NGA","no-estimate","admin1",0.001,1,2,2,1,1,1
"NGA","no-estimate","admin2",1e-04,164,214,252,65,85,103
