"ISO","threshold","confirmation_lens","admin_level","NAME","mean_observed_ir","mean_clinical_ir","eff"
"SSD",2e-04,"no-estimate","admin2","Al Leiri",0.000398654650058812,0.000398654650058812,0.775326719426039
"SSD",2e-04,"no-estimate","admin2","Al Mayom",2.25906978297102e-05,2.25906978297102e-05,0.668795999662403
"SSD",2e-04,"no-estimate","admin2","Aliab",0.00263494869055563,0.00263494869055563,4.61652922466867
"SSD",2e-04,"no-estimate","admin2","Amatonge",0.00628403690230063,0.00628403690230063,10.7329508248919
"SSD",2e-04,"no-estimate","admin2","Ayod",0.000475302977498013,0.000475302977498013,0.669227469816476
"SSD",2e-04,"no-estimate","admin2","Bahr al Jabal",0.0014721399413542,0.0014721399413542,1.42966156622165
"SSD",2e-04,"no-estimate","admin2","Baleit",4.572290127451e-05,4.572290127451e-05,0.335835303287642
"SSD",2e-04,"no-estimate","admin2","Bor",0.000421897758919215,0.000421897758919215,1.52425644286467
"SSD",2e-04,"no-estimate","admin2","Fam al Zaraf",0.00101178230231174,0.00101178230231174,2.47647991982272
"SSD",2e-04,"no-estimate","admin2","Kajo Kaii",0.000210480762974285,0.000210480762974285,0.477739233886689
"SSD",2e-04,"no-estimate","admin2","Kapoeta",0.000172077125294949,0.000172077125294949,0.726882330517035
"SSD",2e-04,"no-estimate","admin2","Magwi",0.00190924003718921,0.00190924003718921,1.00617062948692
"SSD",2e-04,"no-estimate","admin2","Mundri",0.000308985990676929,0.000308985990676929,2.82066333169377
"SSD",2e-04,"no-estimate","admin2","Rabkona",0.000903539523690531,0.000903539523690531,1.76062520141828
"SSD",2e-04,"no-estimate","admin2","Tonga",0.00093117470793068,0.00093117470793068,1.84627727450828
"SSD",0.001,"no-estimate","admin2","Aliab",0.00263494869055563,0.00263494869055563,4.45692867481179
"SSD",0.001,"no-estimate","admin2","Amatonge",0.00628403690230063,0.00628403690230063,12.0043757082577
"SSD",0.001,"no-estimate","admin2","Ayod",0.000475302977498013,0.000475302977498013,1.96676439399262
"SSD",0.001,"no-estimate","admin2","Bahr al Jabal",0.0014721399413542,0.0014721399413542,5.02746629580736
"SSD",0.001,"no-estimate","admin2","Bor",0.000421897758919215,0.000421897758919215,2.07462268152683
"SSD",0.001,"no-estimate","admin2","Fam al Zaraf",0.00101178230231174,0.00101178230231174,2.63643278629786
"SSD",0.001,"no-estimate","admin2","Magwi",0.00190924003718921,0.00190924003718921,16.6813327431442
"SSD",0.001,"no-estimate","admin2","Mundri",0.000308985990676929,0.000308985990676929,2.63644330756678
"SSD",0.001,"no-estimate","admin2","Rabkona",0.000903539523690531,0.000903539523690531,2.03315732715333
