"ISO","threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub"
"COG",2e-04,"no-estimate","admin1",14540828.2700653,20189861.4041037,20466072.4951042
"COG",0.001,"district-estimate","admin1",0,0,4945426.06393857
"COG",0.001,"global-estimate","admin1",0,0,0
"COG",0.001,"no-estimate","admin1",0,0,10199374.3261186
"COG",1e-04,"district-estimate","admin2",8268320.4809312,13307835.3948022,20989775.8467964
"COG",1e-04,"global-estimate","admin2",9380771.78381888,11270421.3427313,20989950.4879165
"COG",1e-04,"no-estimate","admin2",13307835.3948022,13625078.0139865,20915781.131585
"COG",2e-04,"district-estimate","admin2",3114512.45409957,9380771.78381888,19379922.0102865
"COG",2e-04,"global-estimate","admin2",2295664.9816971,6840974.18875584,16866302.8920774
"COG",2e-04,"no-estimate","admin2",11219011.141127,13396027.4451298,20959444.3667777
"COG",0.001,"district-estimate","admin2",0,1473887.9770972,4689058.64874686
"COG",0.001,"global-estimate","admin2",0,1473887.9770972,2315581.83902566
"COG",0.001,"no-estimate","admin2",1473887.9770972,2295664.9816971,9298741.27057206
"ETH",1e-04,"district-estimate","admin1",0,44105231.9037975,69468328.4194116
"ETH",1e-04,"global-estimate","admin1",0,44105231.9037975,46865195.4401458
"ETH",1e-04,"no-estimate","admin1",68356273.2102384,149883507.781261,246528055.758044
"ETH",2e-04,"district-estimate","admin1",0,0,46865195.4401458
"ETH",2e-04,"global-estimate","admin1",0,0,21502098.9245318
"ETH",2e-04,"no-estimate","admin1",0,44105231.9037975,46308407.008859
"ETH",0.001,"district-estimate","admin1",0,0,0
"ETH",0.001,"global-estimate","admin1",0,0,0
"ETH",0.001,"no-estimate","admin1",0,0,0
"ETH",1e-04,"district-estimate","admin2",32930998.3137021,73833001.0855914,106000155.112367
"ETH",1e-04,"global-estimate","admin2",23697649.6817759,64368194.3993033,96910655.6334066
"ETH",1e-04,"no-estimate","admin2",92934849.7257181,123887094.719691,160594704.665108
"ETH",2e-04,"district-estimate","admin2",12119800.0587342,39980254.4320316,65392758.7268048
"ETH",2e-04,"global-estimate","admin2",844061.446703502,21471486.7888825,59276838.8422686
"ETH",2e-04,"no-estimate","admin2",41058467.0037374,71132263.2740076,101373495.827753
"ETH",0.001,"district-estimate","admin2",0,0,8309470.06055595
"ETH",0.001,"global-estimate","admin2",0,0,7820133.43115156
"ETH",0.001,"no-estimate","admin2",0,7820133.43115156,13871003.3615102
"GHA",1e-04,"district-estimate","admin1",114601363.74355,141687127.618646,160781898.697747
"GHA",1e-04,"global-estimate","admin1",93537470.6839236,114635404.940552,152501352.806369
"GHA",1e-04,"no-estimate","admin1",167131557.060016,188614381.064809,199362685.198913
"GHA",2e-04,"district-estimate","admin1",48188753.9568577,74192994.7189761,93876033.8253138
"GHA",2e-04,"global-estimate","admin1",48188753.9568577,48950940.9364608,74201485.5740624
"GHA",2e-04,"no-estimate","admin1",123315970.475434,141598612.615014,152884887.472851
"GHA",0.001,"district-estimate","admin1",0,0,0
"GHA",0.001,"global-estimate","admin1",0,0,0
"GHA",0.001,"no-estimate","admin1",0,13853812.2673619,31909065.882356
