"ISO","threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
"GNB",1e-04,"district-estimate","admin1",2006.55466468695,2762.70403445666,3900.25415394147
"GNB",1e-04,"global-estimate","admin1",2069.63174532527,2503.63975701457,3536.65005322686
"GNB",1e-04,"no-estimate","admin1",2909.81767295755,3791.29936494861,5501.00895281442
"GNB",2e-04,"district-estimate","admin1",1529.94113417813,2264.25643917298,3114.61815472847
"GNB",2e-04,"global-estimate","admin1",745.904645447452,1949.93262236542,-40699.9134502963
"GNB",2e-04,"no-estimate","admin1",2045.07243683286,2778.66987122238,4253.19739763821
"GNB",0.001,"district-estimate","admin1",278.888156157102,441.225415546391,957.813552821764
"GNB",0.001,"global-estimate","admin1",278.864602517146,432.836050243202,1245.9634223169
"GNB",0.001,"no-estimate","admin1",703.317660097889,1154.04514540063,2402.34894304019
"GNB",1e-04,"district-estimate","admin2",1974.7025891115,2482.020324031,3319.63117105152
"GNB",1e-04,"global-estimate","admin2",2062.64636672975,2411.74749947494,3122.52708489608
"GNB",1e-04,"no-estimate","admin2",2290.24869005053,2898.24824908434,4133.17095819172
"GNB",2e-04,"district-estimate","admin2",952.48304710349,1968.59863154686,2648.53762917985
"GNB",2e-04,"global-estimate","admin2",132.985625897931,1178.95044744323,5485.66037826825
"GNB",2e-04,"no-estimate","admin2",2059.83100199073,2615.28294606784,3671.85511901118
"GNB",0.001,"district-estimate","admin2",106.715374352708,417.080746081839,771.553969894544
"GNB",0.001,"global-estimate","admin2",130.193975332379,417.327929240162,778.89699951517
"GNB",0.001,"no-estimate","admin2",354.707797433627,517.472105629457,893.220095522158
"KEN",1e-04,"district-estimate","admin1",1884.09260942737,2577.06290439628,4068.65793410992
"KEN",1e-04,"global-estimate","admin1",1836.14972077361,2375.96117742689,3748.71962307032
"KEN",1e-04,"no-estimate","admin1",2446.58670407724,3424.83603127278,5652.99483775074
"KEN",2e-04,"district-estimate","admin1",1352.02046037683,1900.5794810279,3046.85935863044
"KEN",2e-04,"global-estimate","admin1",831.630175286931,1540.45250639838,4001.48054730917
"KEN",2e-04,"no-estimate","admin1",1919.60042215363,2666.45000471474,4339.02604980973
"KEN",0.001,"district-estimate","admin1",900.6415848027,1095.21221862867,1293.25926095725
"KEN",0.001,"global-estimate","admin1",880.428012364528,979.91853845934,1249.54284354623
