"admin-1","admin0","admin1","admin2","outbreak_number","start_weekday","country","spatial_scale","temporal_scale","population","total_suspected_cases","total_deaths","duration","threshold","attack_rate","cfr","area","mean_R0","id","who_region","start_date","end_date","total_confirmed_cases","right_censored","EpiPeriod","location_period_id","threshold.per.week","run_country","duplicated_at_same_spatial_scale","manually_selected","duplicated_at_different_spatial_scale","time_to_peak..weeks.","pop_cat","population_density","rural_urban","country_code","TL","TR"
"afr","cmr","farnorth","mokolohealthdistrict",1,"Monday","CMR","admin2","weekly",229798.2,1883,94,18,1.93947304176412,8.19414588274971,4.99203398831652,943.4584514,1.51,"afr::cmr::farnorth::mokolohealthdistrict_1","AFR",2010-07-05,2010-11-07,NA,"no","complete",13074,0,"CMR",NA,"yes",NA,8,"100,000-1,000,000",243.570026490305,"Rural settings","CMR",2010-07-05,2010-11-07
"afr","cmr","farnorth","mokolohealthdistrict",2,"Monday","CMR","admin2","weekly",242874.4,59,6,7,1.93947304176412,0.242923877075371,10.1694915254237,943.4584514,1.78,"afr::cmr::farnorth::mokolohealthdistrict_2","AFR",2014-09-08,2014-10-26,NA,"no","complete",13074,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",257.429884315094,"Rural settings","CMR",2014-09-08,2014-10-26
"afr","cmr","farnorth","morahealthdistrict",1,"Monday","CMR","admin2","weekly",227090.4,197,17,12,0.562413422327232,0.867496035444039,8.62944162436548,4362.245165,1.51,"afr::cmr::farnorth::morahealthdistrict_1","AFR",2010-08-30,2010-11-21,NA,"no","complete",13075,0,"CMR",NA,"yes",NA,4,"100,000-1,000,000",52.0581469886276,"Rural settings","CMR",2010-08-30,2010-11-21
"afr","cmr","farnorth","morahealthdistrict",3,"Monday","CMR","admin2","weekly",241114.1,165,13,15,0.562413422327232,0.684323287540916,7.87878787878788,4362.245165,1.62,"afr::cmr::farnorth::morahealthdistrict_3","AFR",2011-08-08,2011-11-20,NA,"no","complete",13075,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",55.2729364994322,"Rural settings","CMR",2011-08-08,2011-11-20
"afr","cmr","farnorth","rouahealthdistrict",1,"Monday","CMR","admin2","weekly",30381.2,232,38,13,1.59166983466719,7.63628932037449,16.3793103448276,297.6236093,1.85,"afr::cmr::farnorth::rouahealthdistrict_1","AFR",2010-07-12,2010-10-10,NA,"no","complete",13079,0,"CMR",NA,"yes",NA,4,"10,000-100,000",102.079267405753,"Rural settings","CMR",2010-07-12,2010-10-10
"afr","cmr","farnorth","tokomberehealthdistrict",2,"Monday","CMR","admin2","weekly",98185.8,316,19,14,0.778116154300787,3.21838809743835,6.0126582278481,586.8040993,2.71,"afr::cmr::farnorth::tokomberehealthdistrict_2","AFR",2010-08-16,2010-11-21,NA,"no","complete",13080,0,"CMR",NA,"yes",NA,3,"10,000-100,000",167.322961985313,"Rural settings","CMR",2010-08-16,2010-11-21
"afr","cmr","farnorth","tokomberehealthdistrict",3,"Monday","CMR","admin2","weekly",98498.6,31,2,8,0.778116154300787,0.3147252055549,6.45161290322581,586.8040993,1.81,"afr::cmr::farnorth::tokomberehealthdistrict_3","AFR",2011-08-15,2011-10-09,NA,"no","complete",13080,0,"CMR",NA,"yes",NA,4,"10,000-100,000",167.856018929485,"Rural settings","CMR",2011-08-15,2011-10-09
"afr","cmr","farnorth","velehealthdistrict",2,"Monday","CMR","admin2","weekly",73362.8,186,6,17,0.910059934143791,2.53534661664128,3.2258064516129,1183.095347,1.92,"afr::cmr::farnorth::velehealthdistrict_2","AFR",2010-09-27,2011-01-23,NA,"no","complete",13081,0,"CMR",NA,"yes",NA,3,"10,000-100,000",62.0092033884062,"Rural settings","CMR",2010-09-27,2011-01-23
"afr","cmr","farnorth","velehealthdistrict",3,"Monday","CMR","admin2","weekly",84902.8,71,1,11,0.910059934143791,0.836250733145655,1.40845070422535,1183.095347,1.72,"afr::cmr::farnorth::velehealthdistrict_3","AFR",2011-08-08,2011-10-23,NA,"no","complete",13081,0,"CMR",NA,"yes",NA,3,"10,000-100,000",71.7632777571899,"Rural settings","CMR",2011-08-08,2011-10-23
"afr","cmr","farnorth","yagouahealthdistrict",2,"Monday","CMR","admin2","weekly",165007.1,180,15,19,0.318503502664428,1.09086208880205,8.33333333333333,1326.885262,2.1,"afr::cmr::farnorth::yagouahealthdistrict_2","AFR",2010-08-16,2010-12-26,NA,"no","complete",13082,0,"CMR",NA,"yes",NA,5,"100,000-1,000,000",124.356720754654,"Rural settings","CMR",2010-08-16,2010-12-26
"afr","cmr","littoral","bonassamahealthdistrict",2,"Monday","CMR","admin2","weekly",410201,248,3,19,0.357435452368996,0.604581702368298,1.20967741935484,118.4823736,2.24,"afr::cmr::littoral::bonassamahealthdistrict_2","AFR",2011-01-10,2011-05-22,NA,"no","complete",13088,0,"CMR",NA,"yes",NA,7,"100,000-1,000,000",3462.12679182855,"Urban settings","CMR",2011-01-10,2011-05-22
"afr","cmr","littoral","bonassamahealthdistrict",4,"Monday","CMR","admin2","weekly",410201,375,10,26,0.357435452368996,0.914186041887547,2.66666666666667,118.4823736,1.94,"afr::cmr::littoral::bonassamahealthdistrict_4","AFR",2011-08-01,2012-01-29,NA,"no","complete",13088,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",3462.12679182855,"Urban settings","CMR",2011-08-01,2012-01-29
"afr","cmr","littoral","citedespalmiershealthdistrict",2,"Monday","CMR","admin2","weekly",246338.3,151,4,24,0.140763314104626,0.612978137535955,2.64900662251656,51.11683551,1.81,"afr::cmr::littoral::citedespalmiershealthdistrict_2","AFR",2011-09-05,2012-02-19,NA,"no","complete",13089,0,"CMR",NA,"yes",NA,6,"100,000-1,000,000",4819.12265386242,"Urban settings","CMR",2011-09-05,2012-02-19
"afr","cmr","littoral","deidohealthdistrict",2,"Monday","CMR","admin2","weekly",185690.6,201,9,21,1.84801947188621,1.0824458732887,4.47761194029851,32.79309687,1.73,"afr::cmr::littoral::deidohealthdistrict_2","AFR",2011-01-17,2011-06-12,NA,"no","complete",13090,0,"CMR",NA,"yes",NA,4,"100,000-1,000,000",5662.49051549245,"Urban settings","CMR",2011-01-17,2011-06-12
"afr","cmr","littoral","deidohealthdistrict",4,"Monday","CMR","admin2","weekly",185690.6,1338,20,20,1.84801947188621,7.20553521622033,1.49476831091181,32.79309687,1.29,"afr::cmr::littoral::deidohealthdistrict_4","AFR",2011-09-05,2012-01-22,NA,"no","complete",13090,0,"CMR",NA,"yes",NA,10,"100,000-1,000,000",5662.49051549245,"Urban settings","CMR",2011-09-05,2012-01-22
"afr","cmr","littoral","edeahealthdistrict",1,"Monday","CMR","admin2","weekly",212047.8,49,1,14,0.0780502033599672,0.231079925800943,2.04081632653061,5476.598179,2.12,"afr::cmr::littoral::edeahealthdistrict_1","AFR",2011-06-20,2011-09-25,NA,"no","complete",13092,0,"CMR",NA,"yes",NA,4,"100,000-1,000,000",38.7188895495559,"Rural settings","CMR",2011-06-20,2011-09-25
"afr","cmr","littoral","logbabahealthdistrict",1,"Monday","CMR","admin2","weekly",74558.8,12,0,8,0.743069634396066,0.160946701912877,0,12.59902777,2.03,"afr::cmr::littoral::logbabahealthdistrict_1","AFR",2010-10-11,2010-12-05,NA,"no","complete",13094,0,"CMR",NA,"yes",NA,3,"10,000-100,000",5917.8217050632,"Urban settings","CMR",2010-10-11,2010-12-05
"afr","cmr","littoral","logbabahealthdistrict",2,"Monday","CMR","admin2","weekly",78728.1,90,4,19,0.743069634396066,1.14317446449917,4.44444444444444,12.59902777,1.78,"afr::cmr::littoral::logbabahealthdistrict_2","AFR",2011-01-10,2011-05-22,NA,"no","complete",13094,0,"CMR",NA,"yes",NA,3,"10,000-100,000",6248.74406479699,"Urban settings","CMR",2011-01-10,2011-05-22
"afr","cmr","littoral","logbabahealthdistrict",3,"Monday","CMR","admin2","weekly",78728.1,144,1,26,0.743069634396066,1.82907914319868,0.694444444444444,12.59902777,1.76,"afr::cmr::littoral::logbabahealthdistrict_3","AFR",2011-08-15,2012-02-12,NA,"no","complete",13094,0,"CMR",NA,"yes",NA,11,"10,000-100,000",6248.74406479699,"Urban settings","CMR",2011-08-15,2012-02-12
"afr","cmr","littoral","newbellhealthdistrict",4,"Monday","CMR","admin2","weekly",77276.9,941,10,48,2.82916441886925,12.1769922097296,1.06269925611052,14.97344404,1.65,"afr::cmr::littoral::newbellhealthdistrict_4","AFR",2011-01-24,2011-12-25,NA,"no","complete",13101,0,"CMR",NA,"yes",NA,38,"10,000-100,000",5160.93023045084,"Urban settings","CMR",2011-01-24,2011-12-25
"afr","cmr","littoral","nylonhealthdistrict",1,"Monday","CMR","admin2","weekly",76085.2,27,0,9,4.2419032102943,0.354865429915464,0,12.92689494,1.85,"afr::cmr::littoral::nylonhealthdistrict_1","AFR",2010-10-04,2010-12-05,NA,"no","complete",13106,0,"CMR",NA,"yes",NA,3,"10,000-100,000",5885.80632496422,"Urban settings","CMR",2010-10-04,2010-12-05
"afr","cmr","littoral","nylonhealthdistrict",4,"Monday","CMR","admin2","weekly",80460.7,1267,13,27,4.2419032102943,15.7468128132776,1.02604577742699,12.92689494,2.24,"afr::cmr::littoral::nylonhealthdistrict_4","AFR",2011-08-08,2012-02-12,NA,"no","complete",13106,0,"CMR",NA,"yes",NA,13,"10,000-100,000",6224.2866808663,"Urban settings","CMR",2011-08-08,2012-02-12
"afr","cmr","north",NA,3,"Monday","CMR","admin1","weekly",2883205.5,448,NA,15,0.398866713588657,0.15538261147185,NA,66355.07538,1.35,"afr::cmr::north_3","AFR",2018-08-27,2018-12-09,NA,"no","complete",5543,0,"CMR",NA,"yes","|afr::cmr::north::garoua1healthdistrict_3|afr::cmr::north::pitoahealthdistrict_5",8,">1,000,000",43.4511675781929,"Rural settings","CMR",2018-08-27,2018-12-09
"afr","cmr","north",NA,4,"Monday","CMR","admin1","weekly",3002178.3,136,NA,5,0.398866713588657,0.0453004414378127,NA,66355.07538,1.26,"afr::cmr::north_4","AFR",2019-10-28,2019-12-01,NA,"no","complete",5543,0,"CMR",NA,"yes","|afr::cmr::north::garoua2healthdistrict_2",3,">1,000,000",45.2441396955278,"Rural settings","CMR",2019-10-28,2019-12-01
"afr","cmr","north","bibemihealthdistrict",2,"Monday","CMR","admin2","weekly",163591.1,1386,84,29,1.87617141107867,8.47234305883256,6.06060606060606,2435.898967,1.68,"afr::cmr::north::bibemihealthdistrict_2","AFR",2011-04-25,2011-11-13,NA,"no","complete",13122,0,"CMR",NA,"yes",NA,5,"100,000-1,000,000",67.158409365999,"Rural settings","CMR",2011-04-25,2011-11-13
"afr","cmr","north","figuilhealthdistrict",2,"Monday","CMR","admin2","weekly",87956.9,123,8,15,1.43438779515974,1.39841182908608,6.50406504065041,777.3752357,1.8,"afr::cmr::north::figuilhealthdistrict_2","AFR",2010-08-23,2010-12-05,NA,"no","complete",13109,0,"CMR",NA,"yes",NA,10,"10,000-100,000",113.146002034394,"Rural settings","CMR",2010-08-23,2010-12-05
"afr","cmr","north","figuilhealthdistrict",3,"Monday","CMR","admin2","weekly",96327.8,425,18,19,1.43438779515974,4.41202041986863,4.23529411764706,777.3752357,1.05,"afr::cmr::north::figuilhealthdistrict_3","AFR",2011-07-18,2011-11-27,NA,"no","complete",13109,0,"CMR",NA,"yes",NA,3,"10,000-100,000",123.914160853426,"Rural settings","CMR",2011-07-18,2011-11-27
