"scenario","set_name","vaccine","gavi_support","activity_type","country_code","country","year","age_first","age_last","age_range_verbatim","target","coverage","gender"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GHA","Ghana",2040,1,100,"default age and gender",43869440,0.343029928267688,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GIN","Guinea",2025,1,100,"default age and gender",14524168,0.224514670331159,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GIN","Guinea",2028,1,100,"default age and gender",15699488,0.224514670331159,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GIN","Guinea",2031,1,100,"default age and gender",16921313,0.224514670331159,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GIN","Guinea",2034,1,100,"default age and gender",18182560,0.224514670331159,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GIN","Guinea",2037,1,100,"default age and gender",19477187,0.224514670331159,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GIN","Guinea",2040,1,100,"default age and gender",20800137,0.224514670331159,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GNB","Guinea-Bissau",2025,1,100,"default age and gender",2143341,0.380530811286851,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GNB","Guinea-Bissau",2028,1,100,"default age and gender",2291108,0.380530811286851,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GNB","Guinea-Bissau",2031,1,100,"default age and gender",2442807,0.380530811286851,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GNB","Guinea-Bissau",2034,1,100,"default age and gender",2598494,0.380530811286851,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GNB","Guinea-Bissau",2037,1,100,"default age and gender",2757760,0.380530811286851,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GNB","Guinea-Bissau",2040,1,100,"default age and gender",2920246,0.380530811286851,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","HTI","Haiti",2025,1,100,"default age and gender",11837501,0.51,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","HTI","Haiti",2028,1,100,"default age and gender",12232381,0.51,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","HTI","Haiti",2031,1,100,"default age and gender",12612834,0.51,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","HTI","Haiti",2034,1,100,"default age and gender",12979895,0.51,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","HTI","Haiti",2037,1,100,"default age and gender",13337058,0.51,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","HTI","Haiti",2040,1,100,"default age and gender",13679975,0.51,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IND","India",2025,1,100,"default age and gender",1421878603,0.22223437601482,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IND","India",2028,1,100,"default age and gender",1458189074,0.22223437601482,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IND","India",2031,1,100,"default age and gender",1491759582,0.22223437601482,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IND","India",2034,1,100,"default age and gender",1522353366,0.22223437601482,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IND","India",2037,1,100,"default age and gender",1549193043,0.22223437601482,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IND","India",2040,1,100,"default age and gender",1571966307,0.22223437601482,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRN","Iran, Islamic Republic of",2025,1,100,"default age and gender",87542164,0.00147181895285739,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRN","Iran, Islamic Republic of",2028,1,100,"default age and gender",89978278,0.00147181895285739,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRN","Iran, Islamic Republic of",2031,1,100,"default age and gender",92098813,0.00147181895285739,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRN","Iran, Islamic Republic of",2034,1,100,"default age and gender",94053804,0.00147181895285739,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRN","Iran, Islamic Republic of",2037,1,100,"default age and gender",95800159,0.00147181895285739,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRN","Iran, Islamic Republic of",2040,1,100,"default age and gender",97386061,0.00147181895285739,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRQ","Iraq",2025,1,100,"default age and gender",43974392,0.0556384865344593,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRQ","Iraq",2028,1,100,"default age and gender",46949900,0.0556384865344593,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRQ","Iraq",2031,1,100,"default age and gender",49974101,0.0556384865344593,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRQ","Iraq",2034,1,100,"default age and gender",53024727,0.0556384865344593,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRQ","Iraq",2037,1,100,"default age and gender",56118935,0.0556384865344593,"both"
