scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2031,1,100,default age groups,12582019.5,0.510000000000000008882,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2034,1,100,default age groups,12979250,0.510000000000000008882,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2037,1,100,default age groups,13367605,0.510000000000000008882,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2040,1,100,default age groups,13743463,0.510000000000000008882,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2011,1,100,default age groups,1232087741.5,0.000025608565800344019,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2025,1,100,default age groups,1432089617,0.222234376014819767775,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2028,1,100,default age groups,1469367477,0.222234376014819767775,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2031,1,100,default age groups,1504189534,0.222234376014819767775,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2034,1,100,default age groups,1536254267,0.222234376014819767775,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2037,1,100,default age groups,1565220827.5,0.222234376014819740019,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2040,1,100,default age groups,1590929228.5,0.222234376014819740019,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2025,1,100,default age groups,89313488.5,0.001471818952857394721,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2028,1,100,default age groups,90971578.5,0.001471818952857394938,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2031,1,100,default age groups,92343507.5,0.001471818952857394721,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2034,1,100,default age groups,93507659.5,0.001471818952857394938,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2037,1,100,default age groups,94538686,0.001471818952857394721,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2040,1,100,default age groups,95482710,0.001471818952857394938,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2015,1,100,default age groups,36580052.5,0.000055413323754128507,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2025,1,100,default age groups,46337796,0.055638486534459324906,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2028,1,100,default age groups,49419800.5,0.055638486534459317967,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2031,1,100,default age groups,52577343,0.055638486534459324906,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2034,1,100,default age groups,55817145.5,0.055638486534459317967,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2037,1,100,default age groups,59107344.5,0.055638486534459324906,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2040,1,100,default age groups,62401110,0.055638486534459324906,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2023,1,100,default age groups,53640111,0.000049135245078072273,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2025,1,100,default age groups,55829725,0.07701366488241147279,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2028,1,100,default age groups,59210291.5,0.077013664882411458912,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2031,1,100,default age groups,62685150,0.07701366488241147279,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2034,1,100,default age groups,66210349.5,0.07701366488241147279,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2037,1,100,default age groups,69712503,0.07701366488241147279,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,KEN,Kenya,2040,1,100,default age groups,73129686.5,0.07701366488241147279,both,<NA>
